Date,Open,High,Low,Close,Adj Close,Volume
2000-08-18,98.319000,98.319000,98.319000,98.319000,71.827026,7615
2000-08-21,98.319000,98.319000,98.319000,98.319000,71.827026,1684
2000-08-22,98.319000,98.319000,98.319000,98.319000,71.827026,4143
2000-08-23,98.319000,98.319000,98.319000,98.319000,71.827026,19677
2000-08-24,120.167999,120.167999,120.167999,120.167999,87.788849,304603
2000-08-25,117.983002,117.983002,117.983002,117.983002,86.192589,111649
2000-08-28,117.983002,117.983002,117.983002,117.983002,86.192589,0
2000-08-29,117.983002,117.983002,117.983002,117.983002,86.192589,69160
2000-08-30,117.983002,117.983002,117.983002,117.983002,86.192589,78144
2000-08-31,109.244003,109.244003,109.244003,109.244003,79.808319,166203
2000-09-01,111.429001,111.429001,111.429001,111.429001,81.404549,164075
2000-09-04,111.429001,111.429001,111.429001,111.429001,81.404549,18022
2000-09-05,111.429001,111.429001,111.429001,111.429001,81.404549,66052
2000-09-06,111.429001,111.429001,111.429001,111.429001,81.404549,27654
2000-09-07,111.429001,111.429001,111.429001,111.429001,81.404549,53273
2000-09-08,111.429001,111.429001,111.429001,111.429001,81.404549,33953
2000-09-11,111.429001,111.429001,111.429001,111.429001,81.404549,11145
2000-09-12,109.244003,109.244003,109.244003,109.244003,79.808319,22945
2000-09-13,109.244003,109.244003,109.244003,109.244003,79.808319,16799
2000-09-14,109.244003,109.244003,109.244003,109.244003,79.808319,39231
2000-09-15,107.058998,107.058998,107.058998,107.058998,78.212067,14296
2000-09-18,107.058998,107.058998,107.058998,107.058998,78.212067,9969
2000-09-19,107.058998,107.058998,107.058998,107.058998,78.212067,5167
2000-09-20,104.874001,104.874001,104.874001,104.874001,76.615799,17639
2000-09-21,107.058998,107.058998,107.058998,107.058998,78.212067,10781
2000-09-22,104.874001,104.874001,104.874001,104.874001,76.615799,45922
2000-09-25,107.058998,107.058998,107.058998,107.058998,78.212067,39151
2000-09-26,102.689003,102.689003,102.689003,102.689003,75.019554,50415
2000-09-27,102.689003,102.689003,102.689003,102.689003,75.019554,7729
2000-09-28,102.689003,102.689003,102.689003,102.689003,75.019554,1218
2000-09-29,102.689003,102.689003,102.689003,102.689003,75.019554,10161
2000-10-02,102.689003,102.689003,102.689003,102.689003,75.019554,14834
2000-10-03,100.503998,100.503998,100.503998,100.503998,73.423302,13946
2000-10-04,98.319000,98.319000,98.319000,98.319000,71.827026,20276
2000-10-05,98.319000,98.319000,98.319000,98.319000,71.827026,5653
2000-10-06,98.319000,98.319000,98.319000,98.319000,71.827026,2465
2000-10-09,96.135002,96.135002,96.135002,96.135002,70.231529,11413
2000-10-10,93.949997,93.949997,93.949997,93.949997,68.635262,3236
2000-10-11,93.949997,93.949997,93.949997,93.949997,68.635262,4692
2000-10-12,93.949997,93.949997,93.949997,93.949997,68.635262,8498
2000-10-13,93.949997,93.949997,93.949997,93.949997,68.635262,17509
2000-10-16,96.135002,96.135002,96.135002,96.135002,70.231529,15615
2000-10-17,96.135002,96.135002,96.135002,96.135002,70.231529,6001
2000-10-18,93.949997,93.949997,93.949997,93.949997,68.635262,17834
2000-10-19,93.949997,93.949997,93.949997,93.949997,68.635262,6901
2000-10-20,96.135002,96.135002,96.135002,96.135002,70.231529,5245
2000-10-23,96.135002,96.135002,96.135002,96.135002,70.231529,5071
2000-10-24,96.135002,96.135002,96.135002,96.135002,70.231529,4074
2000-10-25,96.135002,96.135002,96.135002,96.135002,70.231529,4483
2000-10-26,96.135002,96.135002,96.135002,96.135002,70.231529,23245
2000-10-27,96.135002,96.135002,96.135002,96.135002,70.231529,4975
2000-10-30,96.135002,96.135002,96.135002,96.135002,70.231529,14997
2000-10-31,98.319000,98.319000,98.319000,98.319000,71.827026,11046
2000-11-01,98.319000,98.319000,98.319000,98.319000,71.827026,17557
2000-11-02,98.319000,98.319000,98.319000,98.319000,71.827026,5229
2000-11-03,98.319000,98.319000,98.319000,98.319000,71.827026,43887
2000-11-06,98.319000,98.319000,98.319000,98.319000,71.827026,11600
2000-11-07,98.319000,98.319000,98.319000,98.319000,71.827026,3768
2000-11-08,98.319000,98.319000,98.319000,98.319000,71.827026,6262
2000-11-09,98.319000,98.319000,98.319000,98.319000,71.827026,4853
2000-11-10,98.319000,98.319000,98.319000,98.319000,71.827026,6653
2000-11-13,98.319000,98.319000,98.319000,98.319000,71.827026,8199
2000-11-14,98.319000,98.319000,98.319000,98.319000,71.827026,2951
2000-11-15,98.319000,98.319000,98.319000,98.319000,71.827026,30938
2000-11-16,98.319000,98.319000,98.319000,98.319000,71.827026,101433
2000-11-17,98.319000,98.319000,98.319000,98.319000,71.827026,4789
2000-11-20,98.319000,98.319000,98.319000,98.319000,71.827026,5261
2000-11-21,98.319000,98.319000,98.319000,98.319000,71.827026,3217
2000-11-22,98.319000,98.319000,98.319000,98.319000,71.827026,3732
2000-11-23,98.319000,98.319000,98.319000,98.319000,71.827026,2699
2000-11-24,98.319000,98.319000,98.319000,98.319000,71.827026,381
2000-11-27,98.319000,98.319000,98.319000,98.319000,71.827026,4100
2000-11-28,98.319000,98.319000,98.319000,98.319000,71.827026,7157
2000-11-29,98.319000,98.319000,98.319000,98.319000,71.827026,5534
2000-11-30,98.319000,98.319000,98.319000,98.319000,71.827026,3655
2000-12-01,98.319000,98.319000,98.319000,98.319000,71.827026,6803
2000-12-04,98.319000,98.319000,98.319000,98.319000,71.827026,2563
2000-12-05,98.319000,98.319000,98.319000,98.319000,71.827026,14848
2000-12-06,98.319000,98.319000,98.319000,98.319000,71.827026,3326
2000-12-07,98.319000,98.319000,98.319000,98.319000,71.827026,1859
2000-12-08,98.319000,98.319000,98.319000,98.319000,71.827026,319755
2000-12-11,98.319000,98.319000,98.319000,98.319000,71.827026,20884
2000-12-12,98.319000,98.319000,98.319000,98.319000,71.827026,4688
2000-12-13,98.319000,98.319000,98.319000,98.319000,71.827026,35917
2000-12-14,98.319000,98.319000,98.319000,98.319000,71.827026,3435
2000-12-15,98.319000,98.319000,98.319000,98.319000,71.827026,6139
2000-12-18,98.319000,98.319000,98.319000,98.319000,71.827026,123
2000-12-19,98.319000,98.319000,98.319000,98.319000,71.827026,2298
2000-12-20,98.319000,98.319000,98.319000,98.319000,71.827026,7817
2000-12-21,98.319000,98.319000,98.319000,98.319000,71.827026,13053
2000-12-22,98.319000,98.319000,98.319000,98.319000,71.827026,3
2000-12-25,98.319000,98.319000,98.319000,98.319000,71.827026,0
2000-12-26,98.319000,98.319000,98.319000,98.319000,71.827026,0
2000-12-27,98.319000,98.319000,98.319000,98.319000,71.827026,1159
2000-12-28,98.319000,98.319000,98.319000,98.319000,71.827026,1179
2000-12-29,96.135002,96.135002,96.135002,96.135002,70.231529,24995
2001-01-01,96.135002,96.135002,96.135002,96.135002,70.231529,0
2001-01-02,93.949997,93.949997,93.949997,93.949997,68.635262,10802
2001-01-03,93.949997,93.949997,93.949997,93.949997,68.635262,7677
2001-01-04,93.949997,93.949997,93.949997,93.949997,68.635262,4827
2001-01-05,96.135002,96.135002,96.135002,96.135002,70.231529,14061
2001-01-08,96.135002,96.135002,96.135002,96.135002,70.231529,2768
2001-01-09,96.135002,96.135002,96.135002,96.135002,70.231529,10276
2001-01-10,96.135002,96.135002,96.135002,96.135002,70.231529,4984
2001-01-11,96.135002,96.135002,96.135002,96.135002,70.231529,2456
2001-01-12,96.135002,96.135002,96.135002,96.135002,70.231529,11791
2001-01-15,96.135002,96.135002,96.135002,96.135002,70.231529,8477
2001-01-16,89.580002,89.580002,89.580002,89.580002,65.442764,2594
